instance_id	repo	difficulty	tier
django__django-12663	django/django	15 min - 1 hour	medium
django__django-12708	django/django	1-4 hours	hard
django__django-12713	django/django	15 min - 1 hour	medium
django__django-12741	django/django	<15 min fix	easy
django__django-12754	django/django	15 min - 1 hour	medium
django__django-12774	django/django	15 min - 1 hour	medium
django__django-12858	django/django	15 min - 1 hour	medium
django__django-12965	django/django	15 min - 1 hour	medium
django__django-13012	django/django	15 min - 1 hour	medium
django__django-13023	django/django	<15 min fix	easy
django__django-13028	django/django	15 min - 1 hour	medium
django__django-13033	django/django	15 min - 1 hour	medium
django__django-13089	django/django	<15 min fix	easy
django__django-13109	django/django	<15 min fix	easy
django__django-13112	django/django	<15 min fix	easy
django__django-13121	django/django	15 min - 1 hour	medium
django__django-13128	django/django	1-4 hours	hard
django__django-13158	django/django	15 min - 1 hour	medium
django__django-13195	django/django	15 min - 1 hour	medium
django__django-13212	django/django	1-4 hours	hard
django__django-13279	django/django	15 min - 1 hour	medium
django__django-13297	django/django	<15 min fix	easy
django__django-13315	django/django	15 min - 1 hour	medium
django__django-13343	django/django	15 min - 1 hour	medium
django__django-13344	django/django	1-4 hours	hard
django__django-13346	django/django	15 min - 1 hour	medium
django__django-13363	django/django	<15 min fix	easy
django__django-13401	django/django	15 min - 1 hour	medium
django__django-13406	django/django	<15 min fix	easy
django__django-13410	django/django	<15 min fix	easy
django__django-13417	django/django	<15 min fix	easy
django__django-13449	django/django	1-4 hours	hard
django__django-13512	django/django	<15 min fix	easy
django__django-13513	django/django	15 min - 1 hour	medium
django__django-13516	django/django	15 min - 1 hour	medium
django__django-13551	django/django	<15 min fix	easy
django__django-13568	django/django	15 min - 1 hour	medium
django__django-13569	django/django	15 min - 1 hour	medium
django__django-13590	django/django	15 min - 1 hour	medium
django__django-13658	django/django	15 min - 1 hour	medium
django__django-13670	django/django	15 min - 1 hour	medium
django__django-13741	django/django	<15 min fix	easy
django__django-13786	django/django	15 min - 1 hour	medium
django__django-13794	django/django	<15 min fix	easy
django__django-13807	django/django	<15 min fix	easy
django__django-13809	django/django	15 min - 1 hour	medium
django__django-13810	django/django	15 min - 1 hour	medium
django__django-13820	django/django	15 min - 1 hour	medium
django__django-13821	django/django	<15 min fix	easy
django__django-13837	django/django	1-4 hours	hard
django__django-13925	django/django	15 min - 1 hour	medium
django__django-13933	django/django	<15 min fix	easy
django__django-13964	django/django	15 min - 1 hour	medium
django__django-14007	django/django	1-4 hours	hard
django__django-14011	django/django	1-4 hours	hard
django__django-14017	django/django	15 min - 1 hour	medium
django__django-14034	django/django	15 min - 1 hour	medium
django__django-14053	django/django	15 min - 1 hour	medium
django__django-14089	django/django	<15 min fix	easy
django__django-14122	django/django	15 min - 1 hour	medium
django__django-14140	django/django	15 min - 1 hour	medium
django__django-14155	django/django	15 min - 1 hour	medium
django__django-14170	django/django	15 min - 1 hour	medium
django__django-14238	django/django	15 min - 1 hour	medium
django__django-14311	django/django	15 min - 1 hour	medium
django__django-14315	django/django	<15 min fix	easy
django__django-14349	django/django	15 min - 1 hour	medium
django__django-14351	django/django	15 min - 1 hour	medium
django__django-14373	django/django	<15 min fix	easy
django__django-14376	django/django	<15 min fix	easy
django__django-14404	django/django	<15 min fix	easy
django__django-14434	django/django	15 min - 1 hour	medium
django__django-14493	django/django	<15 min fix	easy
django__django-14500	django/django	15 min - 1 hour	medium
django__django-14534	django/django	<15 min fix	easy
django__django-14539	django/django	<15 min fix	easy
django__django-14559	django/django	15 min - 1 hour	medium
django__django-14580	django/django	<15 min fix	easy
django__django-14608	django/django	<15 min fix	easy
django__django-14631	django/django	1-4 hours	hard
django__django-14672	django/django	15 min - 1 hour	medium
django__django-14725	django/django	15 min - 1 hour	medium
django__django-14752	django/django	<15 min fix	easy
django__django-14765	django/django	<15 min fix	easy
django__django-14771	django/django	15 min - 1 hour	medium
django__django-14787	django/django	<15 min fix	easy
django__django-14792	django/django	<15 min fix	easy
django__django-14855	django/django	<15 min fix	easy
django__django-14915	django/django	<15 min fix	easy
django__django-14999	django/django	<15 min fix	easy
django__django-15022	django/django	15 min - 1 hour	medium
django__django-15037	django/django	15 min - 1 hour	medium
django__django-15098	django/django	15 min - 1 hour	medium
django__django-15103	django/django	15 min - 1 hour	medium
django__django-15104	django/django	<15 min fix	easy
django__django-15127	django/django	<15 min fix	easy
django__django-15128	django/django	1-4 hours	hard
django__django-15161	django/django	15 min - 1 hour	medium
django__django-15252	django/django	15 min - 1 hour	medium
django__django-15268	django/django	1-4 hours	hard
django__django-15277	django/django	<15 min fix	easy
django__django-15278	django/django	15 min - 1 hour	medium
django__django-15280	django/django	15 min - 1 hour	medium
django__django-15315	django/django	<15 min fix	easy
django__django-15368	django/django	<15 min fix	easy
django__django-15375	django/django	15 min - 1 hour	medium
django__django-15380	django/django	<15 min fix	easy
django__django-15382	django/django	15 min - 1 hour	medium
django__django-15467	django/django	<15 min fix	easy
django__django-15499	django/django	<15 min fix	easy
django__django-15503	django/django	1-4 hours	hard
django__django-15525	django/django	15 min - 1 hour	medium
django__django-15554	django/django	15 min - 1 hour	medium
django__django-15561	django/django	15 min - 1 hour	medium
django__django-15563	django/django	15 min - 1 hour	medium
django__django-15569	django/django	<15 min fix	easy
django__django-15572	django/django	<15 min fix	easy
django__django-15629	django/django	1-4 hours	hard
django__django-15695	django/django	15 min - 1 hour	medium
django__django-15731	django/django	15 min - 1 hour	medium
django__django-15732	django/django	15 min - 1 hour	medium
django__django-15741	django/django	<15 min fix	easy
django__django-15814	django/django	15 min - 1 hour	medium
django__django-15851	django/django	<15 min fix	easy
django__django-15863	django/django	<15 min fix	easy
django__django-15916	django/django	15 min - 1 hour	medium
django__django-15930	django/django	<15 min fix	easy
django__django-15957	django/django	1-4 hours	hard
django__django-15973	django/django	15 min - 1 hour	medium
django__django-15987	django/django	<15 min fix	easy
django__django-16032	django/django	15 min - 1 hour	medium
django__django-16082	django/django	15 min - 1 hour	medium
django__django-16100	django/django	<15 min fix	easy
django__django-16116	django/django	<15 min fix	easy
django__django-16136	django/django	15 min - 1 hour	medium
django__django-16139	django/django	<15 min fix	easy
django__django-16145	django/django	<15 min fix	easy
django__django-16255	django/django	<15 min fix	easy
django__django-16256	django/django	15 min - 1 hour	medium
django__django-16263	django/django	1-4 hours	hard
django__django-16315	django/django	15 min - 1 hour	medium
django__django-16333	django/django	<15 min fix	easy
django__django-16429	django/django	<15 min fix	easy
django__django-16454	django/django	15 min - 1 hour	medium
django__django-16485	django/django	15 min - 1 hour	medium
django__django-16493	django/django	15 min - 1 hour	medium
django__django-16502	django/django	15 min - 1 hour	medium
django__django-16527	django/django	15 min - 1 hour	medium
django__django-16560	django/django	1-4 hours	hard
django__django-16569	django/django	<15 min fix	easy
django__django-16595	django/django	<15 min fix	easy
django__django-16612	django/django	15 min - 1 hour	medium
django__django-16631	django/django	1-4 hours	hard
django__django-16642	django/django	<15 min fix	easy
django__django-16661	django/django	15 min - 1 hour	medium
django__django-16662	django/django	15 min - 1 hour	medium
django__django-16667	django/django	15 min - 1 hour	medium
django__django-16801	django/django	<15 min fix	easy
django__django-16819	django/django	15 min - 1 hour	medium
django__django-16877	django/django	15 min - 1 hour	medium
django__django-16899	django/django	<15 min fix	easy
django__django-16901	django/django	15 min - 1 hour	medium
django__django-16938	django/django	15 min - 1 hour	medium
django__django-16950	django/django	15 min - 1 hour	medium
django__django-17029	django/django	<15 min fix	easy
django__django-17084	django/django	15 min - 1 hour	medium
django__django-17087	django/django	<15 min fix	easy
django__django-7530	django/django	15 min - 1 hour	medium
django__django-9296	django/django	<15 min fix	easy
matplotlib__matplotlib-13989	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-14623	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-20488	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-20676	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-20826	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-20859	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-21568	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-22719	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-22865	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-22871	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-23299	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-23314	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-23412	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-23476	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-24026	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-24149	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-24177	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-24570	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-24627	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-24637	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-24870	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-24970	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-25122	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-25287	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-25311	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-25332	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-25479	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-25775	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-25960	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-26113	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-26208	matplotlib/matplotlib	<15 min fix	easy
matplotlib__matplotlib-26291	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-26342	matplotlib/matplotlib	15 min - 1 hour	medium
matplotlib__matplotlib-26466	matplotlib/matplotlib	15 min - 1 hour	medium
mwaskom__seaborn-3069	mwaskom/seaborn	15 min - 1 hour	medium
mwaskom__seaborn-3187	mwaskom/seaborn	15 min - 1 hour	medium
pallets__flask-5014	pallets/flask	<15 min fix	easy
psf__requests-1142	psf/requests	<15 min fix	easy
psf__requests-1724	psf/requests	<15 min fix	easy
psf__requests-1766	psf/requests	<15 min fix	easy
psf__requests-1921	psf/requests	<15 min fix	easy
psf__requests-2317	psf/requests	<15 min fix	easy
psf__requests-2931	psf/requests	15 min - 1 hour	medium
psf__requests-5414	psf/requests	<15 min fix	easy
psf__requests-6028	psf/requests	15 min - 1 hour	medium
pydata__xarray-2905	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-3095	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-3151	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-3305	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-3677	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-3993	pydata/xarray	1-4 hours	hard
pydata__xarray-4075	pydata/xarray	<15 min fix	easy
pydata__xarray-4094	pydata/xarray	<15 min fix	easy
pydata__xarray-4356	pydata/xarray	<15 min fix	easy
pydata__xarray-4629	pydata/xarray	<15 min fix	easy
pydata__xarray-4687	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-4695	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-4966	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-6461	pydata/xarray	<15 min fix	easy
pydata__xarray-6599	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-6721	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-6744	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-6938	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-6992	pydata/xarray	>4 hours	veryhard
pydata__xarray-7229	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-7233	pydata/xarray	15 min - 1 hour	medium
pydata__xarray-7393	pydata/xarray	15 min - 1 hour	medium
pylint-dev__pylint-4551	pylint-dev/pylint	1-4 hours	hard
pylint-dev__pylint-4604	pylint-dev/pylint	15 min - 1 hour	medium
pylint-dev__pylint-4661	pylint-dev/pylint	15 min - 1 hour	medium
pylint-dev__pylint-4970	pylint-dev/pylint	<15 min fix	easy
pylint-dev__pylint-6386	pylint-dev/pylint	15 min - 1 hour	medium
pylint-dev__pylint-6528	pylint-dev/pylint	15 min - 1 hour	medium
pylint-dev__pylint-6903	pylint-dev/pylint	<15 min fix	easy
pylint-dev__pylint-7080	pylint-dev/pylint	15 min - 1 hour	medium
pylint-dev__pylint-7277	pylint-dev/pylint	<15 min fix	easy
pylint-dev__pylint-8898	pylint-dev/pylint	1-4 hours	hard
pytest-dev__pytest-10051	pytest-dev/pytest	15 min - 1 hour	medium
pytest-dev__pytest-10081	pytest-dev/pytest	<15 min fix	easy
pytest-dev__pytest-10356	pytest-dev/pytest	1-4 hours	hard
pytest-dev__pytest-5262	pytest-dev/pytest	<15 min fix	easy
pytest-dev__pytest-5631	pytest-dev/pytest	15 min - 1 hour	medium
pytest-dev__pytest-5787	pytest-dev/pytest	1-4 hours	hard
pytest-dev__pytest-5809	pytest-dev/pytest	<15 min fix	easy
pytest-dev__pytest-5840	pytest-dev/pytest	15 min - 1 hour	medium
pytest-dev__pytest-6197	pytest-dev/pytest	1-4 hours	hard
pytest-dev__pytest-6202	pytest-dev/pytest	<15 min fix	easy
pytest-dev__pytest-7205	pytest-dev/pytest	<15 min fix	easy
pytest-dev__pytest-7236	pytest-dev/pytest	15 min - 1 hour	medium
pytest-dev__pytest-7324	pytest-dev/pytest	15 min - 1 hour	medium
pytest-dev__pytest-7432	pytest-dev/pytest	<15 min fix	easy
pytest-dev__pytest-7490	pytest-dev/pytest	15 min - 1 hour	medium
pytest-dev__pytest-7521	pytest-dev/pytest	<15 min fix	easy
pytest-dev__pytest-7571	pytest-dev/pytest	15 min - 1 hour	medium
pytest-dev__pytest-7982	pytest-dev/pytest	<15 min fix	easy
pytest-dev__pytest-8399	pytest-dev/pytest	15 min - 1 hour	medium
scikit-learn__scikit-learn-10297	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-10844	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-10908	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-11310	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-11578	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-12585	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-12682	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-12973	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-13124	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-13135	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-13142	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-13328	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-13439	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-13496	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-13779	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-14053	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-14087	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-14141	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-14496	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-14629	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-14710	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-14894	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-14983	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-15100	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-25102	scikit-learn/scikit-learn	1-4 hours	hard
scikit-learn__scikit-learn-25232	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-25747	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-25931	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-25973	scikit-learn/scikit-learn	<15 min fix	easy
scikit-learn__scikit-learn-26194	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-26323	scikit-learn/scikit-learn	15 min - 1 hour	medium
scikit-learn__scikit-learn-9288	scikit-learn/scikit-learn	15 min - 1 hour	medium
sphinx-doc__sphinx-10323	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-10435	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-10449	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-10466	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-10614	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-10673	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-11445	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-11510	sphinx-doc/sphinx	1-4 hours	hard
sphinx-doc__sphinx-7440	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-7454	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-7462	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-7590	sphinx-doc/sphinx	>4 hours	veryhard
sphinx-doc__sphinx-7748	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-7757	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-7889	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-7910	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-7985	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-8035	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-8056	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-8120	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-8265	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-8269	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-8459	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-8475	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-8548	sphinx-doc/sphinx	1-4 hours	hard
sphinx-doc__sphinx-8551	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-8593	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-8595	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-8621	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-8638	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-8721	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-9229	sphinx-doc/sphinx	1-4 hours	hard
sphinx-doc__sphinx-9230	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-9258	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-9281	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-9320	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-9367	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-9461	sphinx-doc/sphinx	1-4 hours	hard
sphinx-doc__sphinx-9591	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-9602	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-9658	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-9673	sphinx-doc/sphinx	15 min - 1 hour	medium
sphinx-doc__sphinx-9698	sphinx-doc/sphinx	<15 min fix	easy
sphinx-doc__sphinx-9711	sphinx-doc/sphinx	<15 min fix	easy
sympy__sympy-11618	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-12096	sympy/sympy	<15 min fix	easy
sympy__sympy-12419	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-12481	sympy/sympy	<15 min fix	easy
sympy__sympy-12489	sympy/sympy	1-4 hours	hard
sympy__sympy-13031	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-13091	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-13372	sympy/sympy	<15 min fix	easy
sympy__sympy-13480	sympy/sympy	<15 min fix	easy
sympy__sympy-13551	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-13615	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-13647	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-13757	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-13798	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-13852	sympy/sympy	1-4 hours	hard
sympy__sympy-13877	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-13878	sympy/sympy	>4 hours	veryhard
sympy__sympy-13974	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-14248	sympy/sympy	1-4 hours	hard
sympy__sympy-14531	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-14711	sympy/sympy	<15 min fix	easy
sympy__sympy-14976	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-15017	sympy/sympy	<15 min fix	easy
sympy__sympy-15345	sympy/sympy	<15 min fix	easy
sympy__sympy-15349	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-15599	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-15809	sympy/sympy	<15 min fix	easy
sympy__sympy-15875	sympy/sympy	<15 min fix	easy
sympy__sympy-15976	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-16450	sympy/sympy	<15 min fix	easy
sympy__sympy-16597	sympy/sympy	1-4 hours	hard
sympy__sympy-16766	sympy/sympy	<15 min fix	easy
sympy__sympy-16792	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-16886	sympy/sympy	<15 min fix	easy
sympy__sympy-17139	sympy/sympy	<15 min fix	easy
sympy__sympy-17318	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-17630	sympy/sympy	1-4 hours	hard
sympy__sympy-17655	sympy/sympy	<15 min fix	easy
sympy__sympy-18189	sympy/sympy	<15 min fix	easy
sympy__sympy-18199	sympy/sympy	1-4 hours	hard
sympy__sympy-18211	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-18698	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-18763	sympy/sympy	<15 min fix	easy
sympy__sympy-19040	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-19346	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-19495	sympy/sympy	<15 min fix	easy
sympy__sympy-19637	sympy/sympy	<15 min fix	easy
sympy__sympy-19783	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-19954	sympy/sympy	<15 min fix	easy
sympy__sympy-20154	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-20428	sympy/sympy	15 min - 1 hour	medium
sympy__sympy-20438	sympy/sympy	15 min - 1 hour	medium
